name	type	source	detector	wavelength_nominal	units	sci_median	psp_median	sci_good_quality_percent	psp_good_quality_percent
S1-D1-760.0	NIRSCWAMPLITUDE	S1	D1	760.0	AU	0.873	1.317	0.917	1.0
S1-D2-760.0	NIRSCWAMPLITUDE	S1	D2	760.0	AU	0.938	1.433	1.0	1.0
S1-D4-760.0	NIRSCWAMPLITUDE	S1	D4	760.0	AU	0.651	1.416	0.854	1.0
S1-D5-760.0	NIRSCWAMPLITUDE	S1	D5	760.0	AU	0.357	0.484	0.177	0.979
S1-D6-760.0	NIRSCWAMPLITUDE	S1	D6	760.0	AU	0.433	0.41	0.26	0.958
S1-D8-760.0	NIRSCWAMPLITUDE	S1	D8	760.0	AU	-0.369	0.362	0.0	0.927
S2-D2-760.0	NIRSCWAMPLITUDE	S2	D2	760.0	AU	0.082	0.366	0.073	0.979
S2-D3-760.0	NIRSCWAMPLITUDE	S2	D3	760.0	AU	0.789	0.929	0.833	1.0
S2-D5-760.0	NIRSCWAMPLITUDE	S2	D5	760.0	AU	0.913	1.184	1.0	1.0
S2-D6-760.0	NIRSCWAMPLITUDE	S2	D6	760.0	AU	0.969	1.36	0.979	1.0
S2-D7-760.0	NIRSCWAMPLITUDE	S2	D7	760.0	AU	0.444	0.386	0.229	0.927
S2-D9-760.0	NIRSCWAMPLITUDE	S2	D9	760.0	AU	0.131	0.188	0.083	0.885
S3-D1-760.0	NIRSCWAMPLITUDE	S3	D1	760.0	AU	0.386	0.337	0.188	0.917
S3-D4-760.0	NIRSCWAMPLITUDE	S3	D4	760.0	AU	0.92	1.234	1.0	1.0
S3-D5-760.0	NIRSCWAMPLITUDE	S3	D5	760.0	AU	0.929	1.283	1.0	1.0
S3-D8-760.0	NIRSCWAMPLITUDE	S3	D8	760.0	AU	0.924	1.178	0.969	1.0
S3-D10-760.0	NIRSCWAMPLITUDE	S3	D10	760.0	AU	0.924	1.178	0.969	1.0
S3-D11-760.0	NIRSCWAMPLITUDE	S3	D11	760.0	AU	0.11	0.194	0.01	0.885
S3-D14-760.0	NIRSCWAMPLITUDE	S3	D14	760.0	AU	0.515	0.468	0.25	0.99
S4-D2-760.0	NIRSCWAMPLITUDE	S4	D2	760.0	AU	0.556	0.526	0.438	0.979
S4-D4-760.0	NIRSCWAMPLITUDE	S4	D4	760.0	AU	0.809	0.906	0.906	1.0
S4-D5-760.0	NIRSCWAMPLITUDE	S4	D5	760.0	AU	0.996	1.388	1.0	1.0
S4-D6-760.0	NIRSCWAMPLITUDE	S4	D6	760.0	AU	0.114	0.275	0.052	0.854
S4-D7-760.0	NIRSCWAMPLITUDE	S4	D7	760.0	AU	0.087	0.277	0.052	0.844
S4-D8-760.0	NIRSCWAMPLITUDE	S4	D8	760.0	AU	0.974	1.375	1.0	1.0
S4-D9-760.0	NIRSCWAMPLITUDE	S4	D9	760.0	AU	0.134	0.232	0.01	0.833
