name	type	source	detector	wavelength_nominal	units	sci_median	psp_median	sci_good_quality_percent	psp_good_quality_percent
S4-D10-760.0	NIRSCWAMPLITUDE	S4	D10	760.0	AU	0.134	0.232	0.01	0.833
S4-D11-760.0	NIRSCWAMPLITUDE	S4	D11	760.0	AU	0.935	1.2	1.0	1.0
S4-D12-760.0	NIRSCWAMPLITUDE	S4	D12	760.0	AU	0.007	0.272	0.0	0.875
S4-D13-760.0	NIRSCWAMPLITUDE	S4	D13	760.0	AU	-0.033	0.185	0.0	0.917
S4-D15-760.0	NIRSCWAMPLITUDE	S4	D15	760.0	AU	0.051	0.199	0.104	0.885
S5-D3-760.0	NIRSCWAMPLITUDE	S5	D3	760.0	AU	0.28	0.291	0.094	0.896
S5-D6-760.0	NIRSCWAMPLITUDE	S5	D6	760.0	AU	0.867	1.12	1.0	1.0
S5-D7-760.0	NIRSCWAMPLITUDE	S5	D7	760.0	AU	0.977	1.374	1.0	1.0
S5-D9-760.0	NIRSCWAMPLITUDE	S5	D9	760.0	AU	0.282	0.287	0.094	0.906
S5-D12-760.0	NIRSCWAMPLITUDE	S5	D12	760.0	AU	0.282	0.287	0.094	0.906
S5-D13-760.0	NIRSCWAMPLITUDE	S5	D13	760.0	AU	0.904	0.476	1.0	1.0
S5-D16-760.0	NIRSCWAMPLITUDE	S5	D16	760.0	AU	0.41	0.31	0.198	0.958
S6-D8-760.0	NIRSCWAMPLITUDE	S6	D8	760.0	AU	0.499	0.548	0.312	0.99
S6-D10-760.0	NIRSCWAMPLITUDE	S6	D10	760.0	AU	0.499	0.548	0.312	0.99
S6-D11-760.0	NIRSCWAMPLITUDE	S6	D11	760.0	AU	0.245	0.194	0.115	0.906
S6-D12-760.0	NIRSCWAMPLITUDE	S6	D12	760.0	AU	0.516	0.233	0.396	0.927
S6-D14-760.0	NIRSCWAMPLITUDE	S6	D14	760.0	AU	0.957	0.37	1.0	1.0
S6-D15-760.0	NIRSCWAMPLITUDE	S6	D15	760.0	AU	-0.049	0.162	0.0	0.865
S7-D9-760.0	NIRSCWAMPLITUDE	S7	D9	760.0	AU	0.014	0.165	0.0	0.792
S7-D11-760.0	NIRSCWAMPLITUDE	S7	D11	760.0	AU	0.014	0.165	0.0	0.792
S7-D12-760.0	NIRSCWAMPLITUDE	S7	D12	760.0	AU	0.589	0.322	0.479	0.958
S7-D13-760.0	NIRSCWAMPLITUDE	S7	D13	760.0	AU	0.28	0.281	0.188	0.969
S7-D15-760.0	NIRSCWAMPLITUDE	S7	D15	760.0	AU	0.089	0.259	0.135	0.969
S7-D16-760.0	NIRSCWAMPLITUDE	S7	D16	760.0	AU	0.669	0.954	0.677	0.99
S8-D17-760.0	NIRSCWAMPLITUDE	S8	D17	760.0	AU	0.834	1.304	1.0	1.0
S8-D18-760.0	NIRSCWAMPLITUDE	S8	D18	760.0	AU	0.569	1.353	0.354	1.0
S8-D20-760.0	NIRSCWAMPLITUDE	S8	D20	760.0	AU	0.969	1.376	1.0	1.0
S8-D21-760.0	NIRSCWAMPLITUDE	S8	D21	760.0	AU	0.582	0.629	0.438	0.969
S8-D22-760.0	NIRSCWAMPLITUDE	S8	D22	760.0	AU	0.486	0.494	0.24	0.969
S8-D24-760.0	NIRSCWAMPLITUDE	S8	D24	760.0	AU	0.579	1.082	0.469	1.0
S9-D18-760.0	NIRSCWAMPLITUDE	S9	D18	760.0	AU	0.93	1.29	0.99	1.0
S9-D19-760.0	NIRSCWAMPLITUDE	S9	D19	760.0	AU	0.83	1.081	0.958	0.99
S9-D21-760.0	NIRSCWAMPLITUDE	S9	D21	760.0	AU	0.873	1.138	0.979	1.0
S9-D22-760.0	NIRSCWAMPLITUDE	S9	D22	760.0	AU	0.982	1.361	1.0	1.0
S9-D23-760.0	NIRSCWAMPLITUDE	S9	D23	760.0	AU	0.779	0.876	0.885	1.0
S9-D25-760.0	NIRSCWAMPLITUDE	S9	D25	760.0	AU	0.647	0.925	0.615	1.0
S10-D17-760.0	NIRSCWAMPLITUDE	S10	D17	760.0	AU	0.647	0.925	0.615	1.0
S10-D20-760.0	NIRSCWAMPLITUDE	S10	D20	760.0	AU	0.978	1.429	0.99	1.0
S10-D21-760.0	NIRSCWAMPLITUDE	S10	D21	760.0	AU	0.927	1.408	1.0	1.0
S10-D24-760.0	NIRSCWAMPLITUDE	S10	D24	760.0	AU	0.995	1.376	1.0	1.0
S10-D26-760.0	NIRSCWAMPLITUDE	S10	D26	760.0	AU	0.92	1.278	1.0	1.0
S10-D27-760.0	NIRSCWAMPLITUDE	S10	D27	760.0	AU	0.456	0.415	0.281	0.969
S10-D30-760.0	NIRSCWAMPLITUDE	S10	D30	760.0	AU	0.468	0.43	0.323	0.948
S11-D18-760.0	NIRSCWAMPLITUDE	S11	D18	760.0	AU	0.9	1.164	1.0	1.0
S11-D20-760.0	NIRSCWAMPLITUDE	S11	D20	760.0	AU	0.92	1.199	0.99	1.0
S11-D21-760.0	NIRSCWAMPLITUDE	S11	D21	760.0	AU	0.964	1.396	1.0	1.0
S11-D22-760.0	NIRSCWAMPLITUDE	S11	D22	760.0	AU	0.453	0.45	0.24	0.948
S11-D23-760.0	NIRSCWAMPLITUDE	S11	D23	760.0	AU	0.44	0.404	0.188	0.948
S11-D24-760.0	NIRSCWAMPLITUDE	S11	D24	760.0	AU	0.96	1.311	1.0	1.0
S11-D25-760.0	NIRSCWAMPLITUDE	S11	D25	760.0	AU	0.586	0.919	0.458	1.0
S11-D26-760.0	NIRSCWAMPLITUDE	S11	D26	760.0	AU	0.605	0.903	0.51	1.0
S11-D27-760.0	NIRSCWAMPLITUDE	S11	D27	760.0	AU	0.962	1.222	1.0	1.0
S11-D28-760.0	NIRSCWAMPLITUDE	S11	D28	760.0	AU	-0.041	0.221	0.01	0.875
S11-D29-760.0	NIRSCWAMPLITUDE	S11	D29	760.0	AU	0.07	0.164	0.01	0.885
S11-D31-760.0	NIRSCWAMPLITUDE	S11	D31	760.0	AU	0.009	0.177	0.0	0.865
S12-D19-760.0	NIRSCWAMPLITUDE	S12	D19	760.0	AU	-0.057	0.175	0.0	0.885
S12-D22-760.0	NIRSCWAMPLITUDE	S12	D22	760.0	AU	0.072	0.205	0.031	0.958
S12-D23-760.0	NIRSCWAMPLITUDE	S12	D23	760.0	AU	0.909	0.478	1.0	1.0
S12-D25-760.0	NIRSCWAMPLITUDE	S12	D25	760.0	AU	0.095	0.187	0.01	0.875
S12-D28-760.0	NIRSCWAMPLITUDE	S12	D28	760.0	AU	0.08	0.179	0.0	0.896
S12-D29-760.0	NIRSCWAMPLITUDE	S12	D29	760.0	AU	0.608	0.252	0.51	0.948
S12-D32-760.0	NIRSCWAMPLITUDE	S12	D32	760.0	AU	0.072	0.162	0.021	0.854
S13-D24-760.0	NIRSCWAMPLITUDE	S13	D24	760.0	AU	0.044	0.163	0.01	0.792
S13-D26-760.0	NIRSCWAMPLITUDE	S13	D26	760.0	AU	0.175	0.243	0.052	0.885
S13-D27-760.0	NIRSCWAMPLITUDE	S13	D27	760.0	AU	0.06	0.181	0.0	0.875
S13-D28-760.0	NIRSCWAMPLITUDE	S13	D28	760.0	AU	0.018	0.185	0.021	0.844
S13-D30-760.0	NIRSCWAMPLITUDE	S13	D30	760.0	AU	0.338	0.251	0.125	0.885
S13-D31-760.0	NIRSCWAMPLITUDE	S13	D31	760.0	AU	0.176	0.201	0.031	0.917
S14-D25-760.0	NIRSCWAMPLITUDE	S14	D25	760.0	AU	0.288	0.239	0.094	0.896
S14-D27-760.0	NIRSCWAMPLITUDE	S14	D27	760.0	AU	0.604	0.593	0.51	0.99
S14-D28-760.0	NIRSCWAMPLITUDE	S14	D28	760.0	AU	0.422	0.751	0.167	1.0
S14-D29-760.0	NIRSCWAMPLITUDE	S14	D29	760.0	AU	0.773	0.771	0.885	1.0
S14-D31-760.0	NIRSCWAMPLITUDE	S14	D31	760.0	AU	0.755	0.74	0.854	1.0
S14-D32-760.0	NIRSCWAMPLITUDE	S14	D32	760.0	AU	0.244	0.688	0.0	1.0
S1-D1-850.0	NIRSCWAMPLITUDE	S1	D1	850.0	AU	0.244	0.688	0.0	1.0
S1-D2-850.0	NIRSCWAMPLITUDE	S1	D2	850.0	AU	0.0	0.0	0.0	0.0
S1-D4-850.0	NIRSCWAMPLITUDE	S1	D4	850.0	AU	0.0	0.0	0.0	0.0
S1-D5-850.0	NIRSCWAMPLITUDE	S1	D5	850.0	AU	0.0	0.0	0.0	0.0
S1-D6-850.0	NIRSCWAMPLITUDE	S1	D6	850.0	AU	0.0	0.0	0.0	0.0
S1-D8-850.0	NIRSCWAMPLITUDE	S1	D8	850.0	AU	0.0	0.0	0.0	0.0
S2-D2-850.0	NIRSCWAMPLITUDE	S2	D2	850.0	AU	0.0	0.0	0.0	0.0
S2-D3-850.0	NIRSCWAMPLITUDE	S2	D3	850.0	AU	0.0	0.0	0.0	0.0
S2-D5-850.0	NIRSCWAMPLITUDE	S2	D5	850.0	AU	0.0	0.0	0.0	0.0
S2-D6-850.0	NIRSCWAMPLITUDE	S2	D6	850.0	AU	0.0	0.0	0.0	0.0
S2-D7-850.0	NIRSCWAMPLITUDE	S2	D7	850.0	AU	0.0	0.0	0.0	0.0
S2-D9-850.0	NIRSCWAMPLITUDE	S2	D9	850.0	AU	0.0	0.0	0.0	0.0
S3-D1-850.0	NIRSCWAMPLITUDE	S3	D1	850.0	AU	0.0	0.0	0.0	0.0
S3-D4-850.0	NIRSCWAMPLITUDE	S3	D4	850.0	AU	0.0	0.0	0.0	0.0
S3-D5-850.0	NIRSCWAMPLITUDE	S3	D5	850.0	AU	0.0	0.0	0.0	0.0
S3-D8-850.0	NIRSCWAMPLITUDE	S3	D8	850.0	AU	0.0	0.0	0.0	0.0
S3-D10-850.0	NIRSCWAMPLITUDE	S3	D10	850.0	AU	0.0	0.0	0.0	0.0
S3-D11-850.0	NIRSCWAMPLITUDE	S3	D11	850.0	AU	0.0	0.0	0.0	0.0
S3-D14-850.0	NIRSCWAMPLITUDE	S3	D14	850.0	AU	0.0	0.0	0.0	0.0
S4-D2-850.0	NIRSCWAMPLITUDE	S4	D2	850.0	AU	0.0	0.0	0.0	0.0
S4-D4-850.0	NIRSCWAMPLITUDE	S4	D4	850.0	AU	0.0	0.0	0.0	0.0
S4-D5-850.0	NIRSCWAMPLITUDE	S4	D5	850.0	AU	0.0	0.0	0.0	0.0
S4-D6-850.0	NIRSCWAMPLITUDE	S4	D6	850.0	AU	0.0	0.0	0.0	0.0
S4-D7-850.0	NIRSCWAMPLITUDE	S4	D7	850.0	AU	0.0	0.0	0.0	0.0
S4-D8-850.0	NIRSCWAMPLITUDE	S4	D8	850.0	AU	0.0	0.0	0.0	0.0
S4-D9-850.0	NIRSCWAMPLITUDE	S4	D9	850.0	AU	0.0	0.0	0.0	0.0
S4-D10-850.0	NIRSCWAMPLITUDE	S4	D10	850.0	AU	0.0	0.0	0.0	0.0
S4-D11-850.0	NIRSCWAMPLITUDE	S4	D11	850.0	AU	0.0	0.0	0.0	0.0
S4-D12-850.0	NIRSCWAMPLITUDE	S4	D12	850.0	AU	0.0	0.0	0.0	0.0
S4-D13-850.0	NIRSCWAMPLITUDE	S4	D13	850.0	AU	0.0	0.0	0.0	0.0
S4-D15-850.0	NIRSCWAMPLITUDE	S4	D15	850.0	AU	0.0	0.0	0.0	0.0
S5-D3-850.0	NIRSCWAMPLITUDE	S5	D3	850.0	AU	0.0	0.0	0.0	0.0
S5-D6-850.0	NIRSCWAMPLITUDE	S5	D6	850.0	AU	0.0	0.0	0.0	0.0
S5-D7-850.0	NIRSCWAMPLITUDE	S5	D7	850.0	AU	0.0	0.0	0.0	0.0
S5-D9-850.0	NIRSCWAMPLITUDE	S5	D9	850.0	AU	0.0	0.0	0.0	0.0
S5-D12-850.0	NIRSCWAMPLITUDE	S5	D12	850.0	AU	0.0	0.0	0.0	0.0
S5-D13-850.0	NIRSCWAMPLITUDE	S5	D13	850.0	AU	0.0	0.0	0.0	0.0
S5-D16-850.0	NIRSCWAMPLITUDE	S5	D16	850.0	AU	0.0	0.0	0.0	0.0
S6-D8-850.0	NIRSCWAMPLITUDE	S6	D8	850.0	AU	0.0	0.0	0.0	0.0
S6-D10-850.0	NIRSCWAMPLITUDE	S6	D10	850.0	AU	0.0	0.0	0.0	0.0
S6-D11-850.0	NIRSCWAMPLITUDE	S6	D11	850.0	AU	0.0	0.0	0.0	0.0
S6-D12-850.0	NIRSCWAMPLITUDE	S6	D12	850.0	AU	0.0	0.0	0.0	0.0
S6-D14-850.0	NIRSCWAMPLITUDE	S6	D14	850.0	AU	0.0	0.0	0.0	0.0
S6-D15-850.0	NIRSCWAMPLITUDE	S6	D15	850.0	AU	0.0	0.0	0.0	0.0
S7-D9-850.0	NIRSCWAMPLITUDE	S7	D9	850.0	AU	0.0	0.0	0.0	0.0
S7-D11-850.0	NIRSCWAMPLITUDE	S7	D11	850.0	AU	0.0	0.0	0.0	0.0
S7-D12-850.0	NIRSCWAMPLITUDE	S7	D12	850.0	AU	0.0	0.0	0.0	0.0
S7-D13-850.0	NIRSCWAMPLITUDE	S7	D13	850.0	AU	0.0	0.0	0.0	0.0
S7-D15-850.0	NIRSCWAMPLITUDE	S7	D15	850.0	AU	0.0	0.0	0.0	0.0
S7-D16-850.0	NIRSCWAMPLITUDE	S7	D16	850.0	AU	0.0	0.0	0.0	0.0
S8-D17-850.0	NIRSCWAMPLITUDE	S8	D17	850.0	AU	0.0	0.0	0.0	0.0
S8-D18-850.0	NIRSCWAMPLITUDE	S8	D18	850.0	AU	0.0	0.0	0.0	0.0
S8-D20-850.0	NIRSCWAMPLITUDE	S8	D20	850.0	AU	0.0	0.0	0.0	0.0
S8-D21-850.0	NIRSCWAMPLITUDE	S8	D21	850.0	AU	0.0	0.0	0.0	0.0
S8-D22-850.0	NIRSCWAMPLITUDE	S8	D22	850.0	AU	0.0	0.0	0.0	0.0
S8-D24-850.0	NIRSCWAMPLITUDE	S8	D24	850.0	AU	0.0	0.0	0.0	0.0
S9-D18-850.0	NIRSCWAMPLITUDE	S9	D18	850.0	AU	0.0	0.0	0.0	0.0
S9-D19-850.0	NIRSCWAMPLITUDE	S9	D19	850.0	AU	0.0	0.0	0.0	0.0
S9-D21-850.0	NIRSCWAMPLITUDE	S9	D21	850.0	AU	0.0	0.0	0.0	0.0
S9-D22-850.0	NIRSCWAMPLITUDE	S9	D22	850.0	AU	0.0	0.0	0.0	0.0
S9-D23-850.0	NIRSCWAMPLITUDE	S9	D23	850.0	AU	0.0	0.0	0.0	0.0
S9-D25-850.0	NIRSCWAMPLITUDE	S9	D25	850.0	AU	0.0	0.0	0.0	0.0
S10-D17-850.0	NIRSCWAMPLITUDE	S10	D17	850.0	AU	0.0	0.0	0.0	0.0
S10-D20-850.0	NIRSCWAMPLITUDE	S10	D20	850.0	AU	0.0	0.0	0.0	0.0
S10-D21-850.0	NIRSCWAMPLITUDE	S10	D21	850.0	AU	0.0	0.0	0.0	0.0
S10-D24-850.0	NIRSCWAMPLITUDE	S10	D24	850.0	AU	0.0	0.0	0.0	0.0
S10-D26-850.0	NIRSCWAMPLITUDE	S10	D26	850.0	AU	0.0	0.0	0.0	0.0
S10-D27-850.0	NIRSCWAMPLITUDE	S10	D27	850.0	AU	0.0	0.0	0.0	0.0
S10-D30-850.0	NIRSCWAMPLITUDE	S10	D30	850.0	AU	0.0	0.0	0.0	0.0
S11-D18-850.0	NIRSCWAMPLITUDE	S11	D18	850.0	AU	0.0	0.0	0.0	0.0
S11-D20-850.0	NIRSCWAMPLITUDE	S11	D20	850.0	AU	0.0	0.0	0.0	0.0
S11-D21-850.0	NIRSCWAMPLITUDE	S11	D21	850.0	AU	0.0	0.0	0.0	0.0
S11-D22-850.0	NIRSCWAMPLITUDE	S11	D22	850.0	AU	0.0	0.0	0.0	0.0
S11-D23-850.0	NIRSCWAMPLITUDE	S11	D23	850.0	AU	0.0	0.0	0.0	0.0
S11-D24-850.0	NIRSCWAMPLITUDE	S11	D24	850.0	AU	0.0	0.0	0.0	0.0
S11-D25-850.0	NIRSCWAMPLITUDE	S11	D25	850.0	AU	0.0	0.0	0.0	0.0
S11-D26-850.0	NIRSCWAMPLITUDE	S11	D26	850.0	AU	0.0	0.0	0.0	0.0
S11-D27-850.0	NIRSCWAMPLITUDE	S11	D27	850.0	AU	0.0	0.0	0.0	0.0
S11-D28-850.0	NIRSCWAMPLITUDE	S11	D28	850.0	AU	0.0	0.0	0.0	0.0
S11-D29-850.0	NIRSCWAMPLITUDE	S11	D29	850.0	AU	0.0	0.0	0.0	0.0
S11-D31-850.0	NIRSCWAMPLITUDE	S11	D31	850.0	AU	0.0	0.0	0.0	0.0
S12-D19-850.0	NIRSCWAMPLITUDE	S12	D19	850.0	AU	0.0	0.0	0.0	0.0
S12-D22-850.0	NIRSCWAMPLITUDE	S12	D22	850.0	AU	0.0	0.0	0.0	0.0
S12-D23-850.0	NIRSCWAMPLITUDE	S12	D23	850.0	AU	0.0	0.0	0.0	0.0
S12-D25-850.0	NIRSCWAMPLITUDE	S12	D25	850.0	AU	0.0	0.0	0.0	0.0
S12-D28-850.0	NIRSCWAMPLITUDE	S12	D28	850.0	AU	0.0	0.0	0.0	0.0
S12-D29-850.0	NIRSCWAMPLITUDE	S12	D29	850.0	AU	0.0	0.0	0.0	0.0
S12-D32-850.0	NIRSCWAMPLITUDE	S12	D32	850.0	AU	0.0	0.0	0.0	0.0
S13-D24-850.0	NIRSCWAMPLITUDE	S13	D24	850.0	AU	0.0	0.0	0.0	0.0
S13-D26-850.0	NIRSCWAMPLITUDE	S13	D26	850.0	AU	0.0	0.0	0.0	0.0
S13-D27-850.0	NIRSCWAMPLITUDE	S13	D27	850.0	AU	0.0	0.0	0.0	0.0
S13-D28-850.0	NIRSCWAMPLITUDE	S13	D28	850.0	AU	0.0	0.0	0.0	0.0
S13-D30-850.0	NIRSCWAMPLITUDE	S13	D30	850.0	AU	0.0	0.0	0.0	0.0
S13-D31-850.0	NIRSCWAMPLITUDE	S13	D31	850.0	AU	0.0	0.0	0.0	0.0
S14-D25-850.0	NIRSCWAMPLITUDE	S14	D25	850.0	AU	0.0	0.0	0.0	0.0
S14-D27-850.0	NIRSCWAMPLITUDE	S14	D27	850.0	AU	0.0	0.0	0.0	0.0
S14-D28-850.0	NIRSCWAMPLITUDE	S14	D28	850.0	AU	0.0	0.0	0.0	0.0
S14-D29-850.0	NIRSCWAMPLITUDE	S14	D29	850.0	AU	0.0	0.0	0.0	0.0
S14-D31-850.0	NIRSCWAMPLITUDE	S14	D31	850.0	AU	0.0	0.0	0.0	0.0
S14-D32-850.0	NIRSCWAMPLITUDE	S14	D32	850.0	AU	0.0	0.0	0.0	0.0
