name	type	source	detector	wavelength_nominal	units	sci_median	psp_median	sci_good_quality_percent	psp_good_quality_percent
S1-D1-760.0	NIRSCWAMPLITUDE	S1	D1	760.0	AU	0.882	1.315	0.895	0.947
S1-D2-760.0	NIRSCWAMPLITUDE	S1	D2	760.0	AU	0.941	1.446	1.0	1.0
S1-D4-760.0	NIRSCWAMPLITUDE	S1	D4	760.0	AU	0.697	1.377	0.958	1.0
S1-D5-760.0	NIRSCWAMPLITUDE	S1	D5	760.0	AU	0.445	0.573	0.263	0.979
S1-D6-760.0	NIRSCWAMPLITUDE	S1	D6	760.0	AU	0.495	0.504	0.316	0.989
S1-D8-760.0	NIRSCWAMPLITUDE	S1	D8	760.0	AU	-0.379	0.391	0.0	0.916
S2-D2-760.0	NIRSCWAMPLITUDE	S2	D2	760.0	AU	0.218	0.392	0.126	0.989
S2-D3-760.0	NIRSCWAMPLITUDE	S2	D3	760.0	AU	0.73	0.886	0.737	0.979
S2-D5-760.0	NIRSCWAMPLITUDE	S2	D5	760.0	AU	0.919	1.224	1.0	1.0
S2-D6-760.0	NIRSCWAMPLITUDE	S2	D6	760.0	AU	0.967	1.356	0.968	1.0
S2-D7-760.0	NIRSCWAMPLITUDE	S2	D7	760.0	AU	0.423	0.418	0.221	0.958
S2-D9-760.0	NIRSCWAMPLITUDE	S2	D9	760.0	AU	0.142	0.195	0.053	0.916
S3-D1-760.0	NIRSCWAMPLITUDE	S3	D1	760.0	AU	0.377	0.334	0.158	0.916
S3-D4-760.0	NIRSCWAMPLITUDE	S3	D4	760.0	AU	0.919	1.231	1.0	1.0
S3-D5-760.0	NIRSCWAMPLITUDE	S3	D5	760.0	AU	0.923	1.286	1.0	1.0
S3-D8-760.0	NIRSCWAMPLITUDE	S3	D8	760.0	AU	0.905	1.119	0.979	0.989
S3-D10-760.0	NIRSCWAMPLITUDE	S3	D10	760.0	AU	0.905	1.119	0.979	0.989
S3-D11-760.0	NIRSCWAMPLITUDE	S3	D11	760.0	AU	0.086	0.201	0.021	0.768
S3-D14-760.0	NIRSCWAMPLITUDE	S3	D14	760.0	AU	0.431	0.404	0.221	0.958
S4-D2-760.0	NIRSCWAMPLITUDE	S4	D2	760.0	AU	0.52	0.464	0.316	0.979
S4-D4-760.0	NIRSCWAMPLITUDE	S4	D4	760.0	AU	0.801	0.9	0.926	1.0
S4-D5-760.0	NIRSCWAMPLITUDE	S4	D5	760.0	AU	0.995	1.428	1.0	1.0
S4-D6-760.0	NIRSCWAMPLITUDE	S4	D6	760.0	AU	0.103	0.238	0.011	0.874
S4-D7-760.0	NIRSCWAMPLITUDE	S4	D7	760.0	AU	0.132	0.242	0.021	0.895
S4-D8-760.0	NIRSCWAMPLITUDE	S4	D8	760.0	AU	0.969	1.403	1.0	1.0
S4-D9-760.0	NIRSCWAMPLITUDE	S4	D9	760.0	AU	0.122	0.286	0.042	0.853
S4-D10-760.0	NIRSCWAMPLITUDE	S4	D10	760.0	AU	0.122	0.286	0.042	0.853
S4-D11-760.0	NIRSCWAMPLITUDE	S4	D11	760.0	AU	0.919	1.203	1.0	1.0
S4-D12-760.0	NIRSCWAMPLITUDE	S4	D12	760.0	AU	0.033	0.26	0.021	0.821
S4-D13-760.0	NIRSCWAMPLITUDE	S4	D13	760.0	AU	0.105	0.159	0.0	0.895
S4-D15-760.0	NIRSCWAMPLITUDE	S4	D15	760.0	AU	0.083	0.165	0.042	0.779
S5-D3-760.0	NIRSCWAMPLITUDE	S5	D3	760.0	AU	0.246	0.275	0.084	0.853
S5-D6-760.0	NIRSCWAMPLITUDE	S5	D6	760.0	AU	0.871	1.059	0.979	1.0
S5-D7-760.0	NIRSCWAMPLITUDE	S5	D7	760.0	AU	0.977	1.4	1.0	1.0
S5-D9-760.0	NIRSCWAMPLITUDE	S5	D9	760.0	AU	0.221	0.272	0.084	0.884
S5-D12-760.0	NIRSCWAMPLITUDE	S5	D12	760.0	AU	0.221	0.272	0.084	0.884
S5-D13-760.0	NIRSCWAMPLITUDE	S5	D13	760.0	AU	0.91	0.414	0.989	1.0
S5-D16-760.0	NIRSCWAMPLITUDE	S5	D16	760.0	AU	0.265	0.221	0.095	0.884
S6-D8-760.0	NIRSCWAMPLITUDE	S6	D8	760.0	AU	0.435	0.442	0.242	1.0
S6-D10-760.0	NIRSCWAMPLITUDE	S6	D10	760.0	AU	0.435	0.442	0.242	1.0
S6-D11-760.0	NIRSCWAMPLITUDE	S6	D11	760.0	AU	0.206	0.221	0.021	0.916
S6-D12-760.0	NIRSCWAMPLITUDE	S6	D12	760.0	AU	0.46	0.26	0.305	0.937
S6-D14-760.0	NIRSCWAMPLITUDE	S6	D14	760.0	AU	0.953	0.406	1.0	1.0
S6-D15-760.0	NIRSCWAMPLITUDE	S6	D15	760.0	AU	0.006	0.201	0.0	0.863
S7-D9-760.0	NIRSCWAMPLITUDE	S7	D9	760.0	AU	0.022	0.176	0.011	0.758
S7-D11-760.0	NIRSCWAMPLITUDE	S7	D11	760.0	AU	0.022	0.176	0.011	0.758
S7-D12-760.0	NIRSCWAMPLITUDE	S7	D12	760.0	AU	0.502	0.294	0.411	0.958
S7-D13-760.0	NIRSCWAMPLITUDE	S7	D13	760.0	AU	0.282	0.308	0.168	0.989
S7-D15-760.0	NIRSCWAMPLITUDE	S7	D15	760.0	AU	0.175	0.313	0.137	0.979
S7-D16-760.0	NIRSCWAMPLITUDE	S7	D16	760.0	AU	0.744	0.961	0.832	0.979
S8-D17-760.0	NIRSCWAMPLITUDE	S8	D17	760.0	AU	0.827	1.407	1.0	1.0
S8-D18-760.0	NIRSCWAMPLITUDE	S8	D18	760.0	AU	0.596	1.406	0.442	1.0
S8-D20-760.0	NIRSCWAMPLITUDE	S8	D20	760.0	AU	0.969	1.429	1.0	1.0
S8-D21-760.0	NIRSCWAMPLITUDE	S8	D21	760.0	AU	0.551	0.583	0.347	0.989
