name	type	source	detector	wavelength_nominal	units	sci_median	psp_median	sci_good_quality_percent	psp_good_quality_percent
S1-D1-760.0	NIRSCWAMPLITUDE	S1	D1	760.0	AU	0.826	0.394	0.79	0.984
S1-D2-760.0	NIRSCWAMPLITUDE	S1	D2	760.0	AU	0.804	0.423	0.742	0.952
S1-D4-760.0	NIRSCWAMPLITUDE	S1	D4	760.0	AU	0.752	0.4	0.677	0.952
S1-D5-760.0	NIRSCWAMPLITUDE	S1	D5	760.0	AU	0.164	0.09	0.016	0.484
S1-D6-760.0	NIRSCWAMPLITUDE	S1	D6	760.0	AU	0.972	1.269	1.0	1.0
S1-D8-760.0	NIRSCWAMPLITUDE	S1	D8	760.0	AU	0.449	0.612	0.113	0.968
S2-D2-760.0	NIRSCWAMPLITUDE	S2	D2	760.0	AU	0.751	0.644	0.758	0.968
S2-D3-760.0	NIRSCWAMPLITUDE	S2	D3	760.0	AU	0.934	1.107	1.0	1.0
S2-D5-760.0	NIRSCWAMPLITUDE	S2	D5	760.0	AU	0.868	1.004	0.952	1.0
S2-D6-760.0	NIRSCWAMPLITUDE	S2	D6	760.0	AU	0.771	0.499	0.823	0.984
S2-D7-760.0	NIRSCWAMPLITUDE	S2	D7	760.0	AU	0.609	0.396	0.516	0.952
S2-D9-760.0	NIRSCWAMPLITUDE	S2	D9	760.0	AU	0.412	1.006	0.097	1.0
S3-D1-760.0	NIRSCWAMPLITUDE	S3	D1	760.0	AU	0.191	0.156	0.032	0.677
S3-D4-760.0	NIRSCWAMPLITUDE	S3	D4	760.0	AU	0.62	0.215	0.516	0.887
S3-D5-760.0	NIRSCWAMPLITUDE	S3	D5	760.0	AU	0.568	0.235	0.371	0.952
S3-D8-760.0	NIRSCWAMPLITUDE	S3	D8	760.0	AU	0.678	0.265	0.597	0.935
S3-D10-760.0	NIRSCWAMPLITUDE	S3	D10	760.0	AU	0.678	0.265	0.597	0.935
S3-D11-760.0	NIRSCWAMPLITUDE	S3	D11	760.0	AU	0.407	0.307	0.129	0.887
S3-D14-760.0	NIRSCWAMPLITUDE	S3	D14	760.0	AU	0.297	0.359	0.081	0.742
S4-D2-760.0	NIRSCWAMPLITUDE	S4	D2	760.0	AU	0.543	0.458	0.452	0.774
S4-D4-760.0	NIRSCWAMPLITUDE	S4	D4	760.0	AU	0.185	0.086	0.0	0.419
S4-D5-760.0	NIRSCWAMPLITUDE	S4	D5	760.0	AU	0.943	0.778	0.968	0.984
S4-D6-760.0	NIRSCWAMPLITUDE	S4	D6	760.0	AU	0.11	0.176	0.016	0.79
S4-D7-760.0	NIRSCWAMPLITUDE	S4	D7	760.0	AU	0.184	0.251	0.065	0.839
S4-D8-760.0	NIRSCWAMPLITUDE	S4	D8	760.0	AU	0.63	0.326	0.581	0.935
S4-D9-760.0	NIRSCWAMPLITUDE	S4	D9	760.0	AU	0.266	0.133	0.0	0.613
S4-D10-760.0	NIRSCWAMPLITUDE	S4	D10	760.0	AU	0.266	0.133	0.0	0.613
S4-D11-760.0	NIRSCWAMPLITUDE	S4	D11	760.0	AU	0.769	0.342	0.742	0.984
S4-D12-760.0	NIRSCWAMPLITUDE	S4	D12	760.0	AU	0.365	0.25	0.258	0.903
S4-D13-760.0	NIRSCWAMPLITUDE	S4	D13	760.0	AU	0.864	0.878	0.839	0.968
S4-D15-760.0	NIRSCWAMPLITUDE	S4	D15	760.0	AU	-0.007	0.132	0.016	0.677
S5-D3-760.0	NIRSCWAMPLITUDE	S5	D3	760.0	AU	0.122	0.133	0.081	0.597
S5-D6-760.0	NIRSCWAMPLITUDE	S5	D6	760.0	AU	0.382	0.231	0.113	0.79
S5-D7-760.0	NIRSCWAMPLITUDE	S5	D7	760.0	AU	0.942	0.456	0.984	1.0
S5-D9-760.0	NIRSCWAMPLITUDE	S5	D9	760.0	AU	0.248	0.16	0.065	0.742
S5-D12-760.0	NIRSCWAMPLITUDE	S5	D12	760.0	AU	0.248	0.16	0.065	0.742
S5-D13-760.0	NIRSCWAMPLITUDE	S5	D13	760.0	AU	0.427	0.246	0.145	0.855
S5-D16-760.0	NIRSCWAMPLITUDE	S5	D16	760.0	AU	0.456	1.236	0.048	0.984
S6-D8-760.0	NIRSCWAMPLITUDE	S6	D8	760.0	AU	0.089	0.145	0.032	0.629
S6-D10-760.0	NIRSCWAMPLITUDE	S6	D10	760.0	AU	0.089	0.145	0.032	0.629
S6-D11-760.0	NIRSCWAMPLITUDE	S6	D11	760.0	AU	0.076	0.103	0.0	0.5
S6-D12-760.0	NIRSCWAMPLITUDE	S6	D12	760.0	AU	0.23	0.202	0.048	0.806
S6-D14-760.0	NIRSCWAMPLITUDE	S6	D14	760.0	AU	0.455	0.277	0.452	0.903
S6-D15-760.0	NIRSCWAMPLITUDE	S6	D15	760.0	AU	0.497	0.486	0.29	0.952
S7-D9-760.0	NIRSCWAMPLITUDE	S7	D9	760.0	AU	0.604	0.314	0.516	0.952
S7-D11-760.0	NIRSCWAMPLITUDE	S7	D11	760.0	AU	0.604	0.314	0.516	0.952
S7-D12-760.0	NIRSCWAMPLITUDE	S7	D12	760.0	AU	0.828	0.366	0.919	1.0
S7-D13-760.0	NIRSCWAMPLITUDE	S7	D13	760.0	AU	0.918	0.384	0.984	1.0
S7-D15-760.0	NIRSCWAMPLITUDE	S7	D15	760.0	AU	0.616	0.373	0.548	0.871
S7-D16-760.0	NIRSCWAMPLITUDE	S7	D16	760.0	AU	0.149	0.122	0.0	0.613
S8-D17-760.0	NIRSCWAMPLITUDE	S8	D17	760.0	AU	-0.077	0.206	0.097	0.839
S8-D18-760.0	NIRSCWAMPLITUDE	S8	D18	760.0	AU	0.309	0.232	0.21	0.919
S8-D20-760.0	NIRSCWAMPLITUDE	S8	D20	760.0	AU	0.693	0.263	0.581	0.903
S8-D21-760.0	NIRSCWAMPLITUDE	S8	D21	760.0	AU	0.231	0.208	0.048	0.806
S8-D22-760.0	NIRSCWAMPLITUDE	S8	D22	760.0	AU	0.677	0.482	0.565	1.0
