name	type	source	detector	wavelength_nominal	units
S1-D1-760.0	NIRSCWAMPLITUDE	S1	D1	760.0	AU
S1-D2-760.0	NIRSCWAMPLITUDE	S1	D2	760.0	AU
S1-D4-760.0	NIRSCWAMPLITUDE	S1	D4	760.0	AU
S1-D5-760.0	NIRSCWAMPLITUDE	S1	D5	760.0	AU
S1-D6-760.0	NIRSCWAMPLITUDE	S1	D6	760.0	AU
S1-D8-760.0	NIRSCWAMPLITUDE	S1	D8	760.0	AU
S2-D2-760.0	NIRSCWAMPLITUDE	S2	D2	760.0	AU
S2-D3-760.0	NIRSCWAMPLITUDE	S2	D3	760.0	AU
S2-D5-760.0	NIRSCWAMPLITUDE	S2	D5	760.0	AU
S2-D6-760.0	NIRSCWAMPLITUDE	S2	D6	760.0	AU
S2-D7-760.0	NIRSCWAMPLITUDE	S2	D7	760.0	AU
S2-D9-760.0	NIRSCWAMPLITUDE	S2	D9	760.0	AU
S3-D1-760.0	NIRSCWAMPLITUDE	S3	D1	760.0	AU
S3-D4-760.0	NIRSCWAMPLITUDE	S3	D4	760.0	AU
S3-D5-760.0	NIRSCWAMPLITUDE	S3	D5	760.0	AU
S3-D8-760.0	NIRSCWAMPLITUDE	S3	D8	760.0	AU
S3-D10-760.0	NIRSCWAMPLITUDE	S3	D10	760.0	AU
S3-D11-760.0	NIRSCWAMPLITUDE	S3	D11	760.0	AU
S3-D14-760.0	NIRSCWAMPLITUDE	S3	D14	760.0	AU
S4-D2-760.0	NIRSCWAMPLITUDE	S4	D2	760.0	AU
S4-D4-760.0	NIRSCWAMPLITUDE	S4	D4	760.0	AU
S4-D5-760.0	NIRSCWAMPLITUDE	S4	D5	760.0	AU
S4-D6-760.0	NIRSCWAMPLITUDE	S4	D6	760.0	AU
S4-D7-760.0	NIRSCWAMPLITUDE	S4	D7	760.0	AU
S4-D8-760.0	NIRSCWAMPLITUDE	S4	D8	760.0	AU
S4-D9-760.0	NIRSCWAMPLITUDE	S4	D9	760.0	AU
S4-D10-760.0	NIRSCWAMPLITUDE	S4	D10	760.0	AU
S4-D11-760.0	NIRSCWAMPLITUDE	S4	D11	760.0	AU
S4-D12-760.0	NIRSCWAMPLITUDE	S4	D12	760.0	AU
S4-D13-760.0	NIRSCWAMPLITUDE	S4	D13	760.0	AU
S4-D15-760.0	NIRSCWAMPLITUDE	S4	D15	760.0	AU
S5-D3-760.0	NIRSCWAMPLITUDE	S5	D3	760.0	AU
S5-D6-760.0	NIRSCWAMPLITUDE	S5	D6	760.0	AU
S5-D7-760.0	NIRSCWAMPLITUDE	S5	D7	760.0	AU
S5-D9-760.0	NIRSCWAMPLITUDE	S5	D9	760.0	AU
S5-D12-760.0	NIRSCWAMPLITUDE	S5	D12	760.0	AU
S5-D13-760.0	NIRSCWAMPLITUDE	S5	D13	760.0	AU
S5-D16-760.0	NIRSCWAMPLITUDE	S5	D16	760.0	AU
S6-D8-760.0	NIRSCWAMPLITUDE	S6	D8	760.0	AU
S6-D10-760.0	NIRSCWAMPLITUDE	S6	D10	760.0	AU
S6-D11-760.0	NIRSCWAMPLITUDE	S6	D11	760.0	AU
S6-D12-760.0	NIRSCWAMPLITUDE	S6	D12	760.0	AU
S6-D14-760.0	NIRSCWAMPLITUDE	S6	D14	760.0	AU
S6-D15-760.0	NIRSCWAMPLITUDE	S6	D15	760.0	AU
S7-D9-760.0	NIRSCWAMPLITUDE	S7	D9	760.0	AU
S7-D11-760.0	NIRSCWAMPLITUDE	S7	D11	760.0	AU
S7-D12-760.0	NIRSCWAMPLITUDE	S7	D12	760.0	AU
S7-D13-760.0	NIRSCWAMPLITUDE	S7	D13	760.0	AU
S7-D15-760.0	NIRSCWAMPLITUDE	S7	D15	760.0	AU
S7-D16-760.0	NIRSCWAMPLITUDE	S7	D16	760.0	AU
S8-D17-760.0	NIRSCWAMPLITUDE	S8	D17	760.0	AU
S8-D18-760.0	NIRSCWAMPLITUDE	S8	D18	760.0	AU
S8-D20-760.0	NIRSCWAMPLITUDE	S8	D20	760.0	AU
S8-D21-760.0	NIRSCWAMPLITUDE	S8	D21	760.0	AU
S8-D22-760.0	NIRSCWAMPLITUDE	S8	D22	760.0	AU
S8-D24-760.0	NIRSCWAMPLITUDE	S8	D24	760.0	AU
S9-D18-760.0	NIRSCWAMPLITUDE	S9	D18	760.0	AU
